engine,config,scenario,run_id,scaling,n,particles,rho,dt,steps,bx,by,bz,schedule,layout,executor,ordering,threads,total_cores,integration_time_s,performance_mups,mups_computed,avg_step_time_s,median_step_time_s,std_deviation_s,wall_time_seconds,speedup,parallel_efficiency
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,45,45,8.46179,59.09,59.08915253155656,0.016924,0.016873,0.000226,9.740107,22.29811320754717,0.4955136268343816
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t50,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,50,50,8.4025,59.51,59.50609937518596,0.016805,0.016791,0.000183,9.660613,22.456603773584906,0.4491320754716981
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t50,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,50,50,9.73954,51.34,51.33712680475669,0.019479,0.019491,0.000171,11.081686,19.37358490566038,0.3874716981132076
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56,20260426_150823,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,56,56,8.74954,57.15,57.145861382426965,0.017499,0.017486,0.000333,10.007864,21.566037735849058,0.38510781671159033
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56,20260426_131439,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,56,56,10.06275,49.69,49.68820650418623,0.020125,0.020053,0.000525,11.410499,18.750943396226415,0.33483827493261453
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t1,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,1,1,188.92238,2.65,2.6465895676308966,0.377845,0.378391,0.005103,205.606492,1.0,1.0
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t2,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,2,2,97.14679,5.15,5.146850451775093,0.194294,0.194533,0.002554,106.070341,1.9433962264150946,0.9716981132075473
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t3,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,3,3,65.24354,7.66,7.663593974208021,0.130487,0.130557,0.001826,71.311787,2.8905660377358493,0.9635220125786165
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t4,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,4,4,50.0512,9.99,9.989770475033565,0.100102,0.100274,0.001402,54.826288,3.7698113207547173,0.9424528301886793
april,native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b4x4x4_C08_SoA_OmpExecutor_hilbert_t6,20260426_152225,strong,100,1000000,0.8442,0.005,500,4,4,4,C08,SoA,OmpExecutor,hilbert,6,6,34.39116,14.54,14.53861980811348,0.068782,0.068825,0.000961,37.877789,5.486792452830189,0.9144654088050315
