engine,config,benchmark,scaling,scenario,run_id,run_date,hostname,n_dim,atoms,rho,dt,steps,ranks,threads,bind,loop_time_s,timesteps_per_second,matom_step_per_second,cpu_use_percent,pair_time_s,neigh_time_s,comm_time_s,output_time_s,modify_time_s,other_time_s,total_neighbors,neighbor_list_builds,wall_time_s,wall_time_process_s,exit_status,result_dir
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t50_bindclose,20260630_024117_strong_rep3,2026-06-30T03:14:54+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,50,close,25.8979,,19.307,2391.4,7.7889,2.6295,5.5932,,7.4002,,37710977,84,32.216746,32.216746,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t50_bindclose\20260630_024117_strong_rep3
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t56_bindclose,20260630_024117_strong_rep1,2026-06-30T02:52:25+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,56,close,26.3669,,18.963,2764.7,7.923,2.5854,5.5417,,7.8822,,37710977,84,32.898527,32.898527,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t56_bindclose\20260630_024117_strong_rep1
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t56_bindclose,20260630_024117_strong_rep2,2026-06-30T03:03:56+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,56,close,26.3655,,18.964,2767.7,7.898,2.5587,5.6226,,7.858,,37710977,84,32.87381,32.87381,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t56_bindclose\20260630_024117_strong_rep2
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t56_bindclose,20260630_024117_strong_rep3,2026-06-30T03:15:29+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,56,close,26.5745,,18.815,2740.6,7.9503,2.5899,5.7146,,7.8742,,37710977,84,33.086442,33.086442,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t56_bindclose\20260630_024117_strong_rep3
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t6_bindclose,20260630_024117_strong_rep1,2026-06-30T02:46:55+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,6,close,36.9374,,13.536,407.5,17.332,6.0707,5.4481,,5.6002,,37710977,84,43.942118,43.942118,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t6_bindclose\20260630_024117_strong_rep1
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t6_bindclose,20260630_024117_strong_rep2,2026-06-30T02:58:25+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,6,close,37.0281,,13.503,408.5,17.424,6.0046,5.4497,,5.6216,,37710977,84,44.047014,44.047014,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t6_bindclose\20260630_024117_strong_rep2
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t6_bindclose,20260630_024117_strong_rep3,2026-06-30T03:09:56+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,6,close,37.1871,,13.446,406.8,17.409,6.0058,5.521,,5.7455,,37710977,84,44.224437,44.224437,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t6_bindclose\20260630_024117_strong_rep3
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t8_bindclose,20260630_024117_strong_rep1,2026-06-30T02:47:41+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,8,close,33.2953,,15.017,490.9,14.585,5.0258,5.4907,,5.7416,,37710977,84,40.050512,40.050512,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t8_bindclose\20260630_024117_strong_rep1
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t8_bindclose,20260630_024117_strong_rep2,2026-06-30T02:59:11+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,8,close,33.4754,,14.936,487.7,14.584,5.043,5.7201,,5.6144,,37710977,84,40.1536,40.1536,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t8_bindclose\20260630_024117_strong_rep2
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t8_bindclose,20260630_024117_strong_rep3,2026-06-30T03:10:42+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,8,close,33.4578,,14.944,487.3,14.577,5.0474,5.6093,,5.777,,37710977,84,40.0553,40.0553,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t8_bindclose\20260630_024117_strong_rep3
